Filme,País,Ano,Duração
The Nightmare Before Christmas,EUA,1993,76
I Saw The TV Glow,EUA,2024,100
Tetris,Reino Unido,2023,118
Brothers,EUA,2009,105
Que Horas Ela Volta?,Brasil,2015,112
Memento,EUA,2000,113
"Good Morning, Vietnam",EUA,1987,121
Eyes Without a Face,França,1960,84
Get Out,EUA,2017,104
Brokeback Mountain,EUA,2005,134
Pokemon Detective Pikachu,EUA,2019,105
Nattvardsgästerna,Suécia,1963,80
Tron,EUA,1982,96
Central do Brasil,Brasil,1998,113
500 Days of Summer,EUA,2009,95
Stalker,URSS,1979,162
I Am Legend,EUA,2007,101
The Substance,Reino Unido,2024,141
Kill Bill: Vol. 1,EUA,2003,111
Kill Bill: Vol. 2,EUA,2004,136
Judas and the Black Messiah,EUA,2021,126
Rio 40 Graus,Brasil,1955,91
Lars and the Real Girl,EUA,2007,106
Once Upon A Time in Anatolia,Turquia,2011,163
Tom Clancy’s Without Remorse,EUA,2021,109
Nimona,Reino Unido,2023,99
Puss in Boots: The Last Wish,EUA,2022,103
Scarface,EUA,1983,169
Blue Valentine,EUA,2010,112
Black Girl,Senegal,1966,65
Dallas Buyers Club,EUA,2013,117
But I’m a Cheerleader,EUA,1999,85
Sicario,EUA,2015,122
Closely Observed Trains,Tchecoslovakia,1966,93
Daisies,Tchecoslovakia,1966,76
HER,EUA,2013,126
Casino Royale,Reino Unido,2006,144
Quantum of Solace,Reino Unido,2008,106
Familia sumergida,Argentina,2018,91
Pink Flamingos,EUA,1972,93
The Unbearable Weight of Massive Talent,EUA,2022,107
The Grand Budapest Hotel,EUA,2014,100
Moonlight,EUA,2016,111
Skyfall ,Reino Unido,2012,143
Godland,Islândia,2022,143
Goodfellas,EUA,1990,145
Spectre,Reino Unido,2015,148
No Time to Die,Reino Unido,2021,163
Das Cabinet des Dr. Caligari,Alemanha,1920,78
Monty Python and the Holy Grail,Reino Unido,1975,91
Parasite,Coreia do Sul,2019,133
Donnie Darko,EUA,2001,114
Drive,EUA,2011,100
Django Unchained,EUA,2012,165
Mortal Kombat,EUA,2021,110
Solaris,URSS,1972,167
The Lighthouse,EUA,2019,109
